 O- 18
 ___________________________________________________
J= 0(3)=   1.9646 MeV     T=1, parity=+
J= 0(2)=  -7.8520 MeV     T=1, parity=+
J= 0(1)= -12.1714 MeV     T=1, parity=+
 ___________________________________________________
J= 1(2)=  -0.9104 MeV     T=1, parity=+
J= 1(1)=  -7.1120 MeV     T=1, parity=+
 ___________________________________________________
J= 2(5)=  -1.2232 MeV     T=1, parity=+
J= 2(4)=  -2.6537 MeV     T=1, parity=+
J= 2(3)=  -6.3280 MeV     T=1, parity=+
J= 2(2)=  -7.7658 MeV     T=1, parity=+
J= 2(1)=  -9.7348 MeV     T=1, parity=+
 ___________________________________________________
J= 3(2)=  -1.6156 MeV     T=1, parity=+
J= 3(1)=  -6.4454 MeV     T=1, parity=+
 ___________________________________________________
J= 4(2)=  -7.1120 MeV     T=1, parity=+
J= 4(1)=  -8.0601 MeV     T=1, parity=+
 ---------------------------------------------
